iteration,max_drawdown,final_equity
1,0.00946617460353112,11075.504766821246
2,0.011874211637103433,10710.425562318414
3,0.01254262271109847,10859.955873882453
4,0.05173111380676907,10215.398347067234
5,0.012062978409014009,10540.241971404941
6,0.00978319923160675,11082.349780248938
7,0.010071820573201787,10883.656136525013
8,0.012238530086254565,10863.105940892405
9,0.020125672167915148,10675.779077640755
10,0.020183728834889537,10795.070964977731
11,0.01885189557580957,10878.881443225608
12,0.027798265851375088,10098.21071032385
13,0.02855756206518988,10548.276073816049
14,0.014568165138223467,10636.498671406975
15,0.010072299458435659,11318.282711109661
16,0.009903020159708814,10944.539633580134
17,0.021123565306846833,10485.282937106698
18,0.009907722055600785,10716.66981475465
19,0.019491939696503622,10630.327520724824
20,0.019992884715730762,10636.03421515146
21,0.009424206755812617,10848.43798320448
22,0.03460492028692806,10288.255425741825
23,0.010151105967517178,10648.838755976718
24,0.0204472655090871,10730.49929115464
25,0.029127396013244898,10361.533916083006
26,0.010275884645698683,10787.047293907572
27,0.01020040382405163,11114.26877526449
28,0.01828031929216746,10449.917277369654
29,0.020695586534387196,10424.727915260752
30,0.02538539163789614,10884.848290151
31,0.012685801395284127,10631.807711611993
32,0.02045027644707902,10898.173519876933
33,0.021387080254816723,10527.530775269268
34,0.021130602485961637,10270.790809489115
35,0.00994261651472441,11119.38807430674
36,0.038463329936570693,10350.201687748902
37,0.02954981384002975,10310.909576447983
38,0.030754241398969956,10329.682689625355
39,0.024940287190585747,10416.245102916393
40,0.028223222016554673,10179.541933509845
41,0.027821393314381986,10939.523610181908
42,0.010717096711547072,11005.308010874483
43,0.02054579255006312,10722.444247812848
44,0.010256398878116978,10824.372006604084
45,0.019493031242466104,10482.14447986011
46,0.01025816141829355,10777.758083944393
47,0.03327684218469408,10199.166977974137
48,0.02160012565377785,10262.042247472998
49,0.023297687843928775,10523.6325945296
50,0.03274445761230094,10667.347868247894
51,0.027984613887772153,10322.658351439113
52,0.009975692459321473,11110.438080800803
53,0.01037347881574857,11035.231801192203
54,0.0099882534317221,11226.395094026944
55,0.020234449079925172,10857.200339083001
56,0.020281908432013343,10288.595043104611
57,0.01903263805952664,10778.867970371948
58,0.010124036279355392,10837.535544637594
59,0.027751260857198035,10137.021962145382
60,0.01916280063293172,10632.916721061247
61,0.01992967155909223,10639.56006085441
62,0.02008030369949428,10374.069019299866
63,0.05532927711995815,9566.722375263173
64,0.02546162371490941,10757.706945655751
65,0.009755312999447324,11050.37700819166
66,0.022858370061831317,10543.864767532064
67,0.012773592598410021,10904.99055227357
68,0.02480144331395917,10375.91073329055
69,0.010472591867254967,10523.15560032944
70,0.011485704634559751,10640.462301834876
71,0.010510061076152953,10893.108572657442
72,0.016604096659254924,10962.586679217953
73,0.034603239676495326,10237.722498874451
74,0.017206464749250062,10606.53522629567
75,0.018773821521465592,11036.400566689588
76,0.009071513798814237,11334.463905708104
77,0.0221844840380457,10421.506078995193
78,0.02211648292642995,10588.31643016768
79,0.015300377821600134,10576.7275229997
80,0.021624549355972956,10455.015066541593
81,0.009350202588842801,11214.721628277952
82,0.012097751537468202,10881.158978018006
83,0.020484524848563248,10766.571601119105
84,0.016165421310270843,10450.383436059079
85,0.05041244237791776,10183.709126472702
86,0.027085201611886402,10413.464268412823
87,0.022047074349355836,10625.534197526875
88,0.020536280730615253,10708.528736238784
89,0.01826339636897566,10883.667381914087
90,0.011258033144633596,10841.089168762242
91,0.020877706570241055,10173.35175241767
92,0.018261161307203535,10591.248343075746
93,0.022898204840578845,10315.769733091593
94,0.03028964355364482,10371.175124645995
95,0.038771449735253004,10427.216870004933
96,0.022193099245087073,10524.84124878125
97,0.010111669164219584,11050.294144154997
98,0.023713773414404483,10483.088277708106
99,0.02200959915369722,10670.539194280154
100,0.010503570797904026,11042.472616239591
101,0.010318618149257308,11058.836592738216
102,0.037295644100153874,10325.733513571455
103,0.018016607617013503,10857.626947034034
104,0.023027895058968226,10287.087578469562
105,0.0179649160441899,10403.542607911397
106,0.020603626152899804,10173.417074108882
107,0.012367932089540372,10921.690295434373
108,0.02327226830528444,10537.961791553887
109,0.012106335511780492,10741.823885698139
110,0.014052134392211812,10580.73873368693
111,0.019862730583370104,10676.711465684808
112,0.020514685314319415,10418.96906668822
113,0.03149778141589797,10488.412253013166
114,0.022076005436137414,11005.734338253013
115,0.017439471707535747,10660.393123201304
116,0.0212605587961665,10433.967515392673
117,0.010346274181205747,11029.841458914567
118,0.010200747784453802,11080.014152792743
119,0.024753735703906977,10180.61020165298
120,0.01810640478983386,10451.262390461343
121,0.011216167825260652,10434.819641676666
122,0.01014532706291464,11113.394104410667
123,0.02126283928855717,10345.670465855661
124,0.00984216898190952,10824.63887838377
125,0.010287275945722233,10995.705599876901
126,0.01723678000767126,10864.559971835013
127,0.011739477696461513,10805.77221972228
128,0.029734560746461528,10206.968564290031
129,0.022018375304354975,10266.631070055868
130,0.03092111274594887,10564.82866416704
131,0.034201878485532265,9971.045381048958
132,0.021649439519459926,10691.05376373876
133,0.01944250186098901,10733.951287640266
134,0.020850038163621697,10770.020216650597
135,0.00999723502849193,11081.971190426522
136,0.012659963938481891,10861.366289460297
137,0.010533505829316074,10870.254485788677
138,0.022490064360926907,11014.844977959096
139,0.019433356869174252,10759.769078574202
140,0.01020468493104767,11224.276591252767
141,0.026267108763599053,10379.481975409093
142,0.027108563576146296,10420.448977168398
143,0.02203326483102507,10296.502269070306
144,0.017598213021668425,10692.925783212359
145,0.01005603318765117,10975.05966211798
146,0.021478330763910185,10941.140452106029
147,0.053182195732202175,9817.202379511113
148,0.00967734669480056,10965.490368695282
149,0.020173133410822143,10544.401838385911
150,0.02935881922420967,10220.261218741996
151,0.00999139396913354,11083.292920881184
152,0.04968261183389312,9594.720413069526
153,0.009583813015120976,11143.802883555296
154,0.02555856325259428,9895.292264118827
155,0.02954777378920608,10299.73689574767
156,0.010037832536661505,11390.191056522592
157,0.012075475587306938,10786.104655384055
158,0.04480349187678414,10073.64683291146
159,0.023598154532902007,10384.825671983994
160,0.011552707416725743,11233.20493920424
161,0.02005614308244867,10940.551849946462
162,0.02647612873160263,10781.4381512102
163,0.012579773656676101,10830.173855329815
164,0.009667766008110014,10986.326000672821
165,0.011424301043008357,10848.879957620886
166,0.009106719023913207,11276.34629016355
167,0.010249201225206549,11096.490157918364
168,0.01971147404765021,10647.691587820862
169,0.029093991684788538,10611.056701817037
170,0.019366110623043355,11117.489313403528
171,0.01054404680586973,10934.934634423538
172,0.0234497832771171,10439.364926035707
173,0.013100446321675313,10863.374031476429
174,0.019969520774782753,11143.00745641219
175,0.023218476052262935,10368.59831079438
176,0.020580754827535238,10430.93248107212
177,0.01986014245286333,10388.937415415789
178,0.012885054072602644,10498.050742327761
179,0.02679552361079411,10248.971328764364
180,0.03519838450403274,10432.348634863925
181,0.012215749151963811,10965.857769337892
182,0.020259596794874483,10808.49281700879
183,0.026736856118876978,10474.031976540844
184,0.012039266100184751,11286.785672205717
185,0.01018734289592351,10928.928471070554
186,0.009615655119727527,11010.727258772293
187,0.012057973201129087,10377.223717982864
188,0.020862079030724873,10733.138536348202
189,0.01936018743227092,10545.151950486714
190,0.019929211928480437,10403.159338490135
191,0.01990332376308615,10255.634122607687
192,0.012957771578547585,10397.663409306753
193,0.010137730092068373,10993.833087290895
194,0.02084474799795819,10483.600603902323
195,0.009242840890637661,11110.810517126552
196,0.010837921676349853,10779.660621516701
197,0.020651145310328897,10348.50691190578
198,0.04782528902172901,10625.229648746606
