strategy,initial_capital,final_equity,trades,win_rate,profit_factor,max_drawdown,sharpe,sortino,cagr,ulcer_index,recovery_factor,monthly_win_rate,daily_avg_return,weekly_avg_return,max_consecutive_losses,average_trade_duration_seconds
buy_hold,10000.0,10000.055939375,2,1.0,0.0,2.2769914566862613e-06,0.025069078342910823,0.007614630559152106,8.513286059441683e-06,2.1625554771840348e-07,24567.230955450927,0.125,2.6059849516294776e-08,1.526091362366035e-07,0,1603800.0
weekly_profile,10000.0,10612.962915087704,29,0.8275862068965517,2.1819467727587436,0.022615574605303317,0.025649034569277182,0.0065085780140797175,0.09476308984331783,0.008884967680745499,27103.574673002873,0.5,0.00027298889916224276,0.001673570815673858,2,53255.1724137931
weekly_profile_fixed_exit,10000.0,11366.325651105713,17,0.5882352941176471,2.851648773517789,0.03071655294793933,0.03147020526252953,0.013701239221034297,0.21519739969431417,0.00987546176217388,44481.73769437803,0.875,0.0004648664395242538,0.003482020228754065,2,260047.0588235294
ict_framework,10000.0,14379.71852657438,2892,0.6369294605809128,1.037450285566659,0.6465661972281405,0.011905271202428853,0.010623792705219936,0.7381064344734691,0.32397652743588407,6850.9837343125855,0.875,0.0025709555012534387,0.02378241989107956,19,128895.43568464731
price_action,10000.0,8551.885034839803,2239,0.5623046002679768,0.9769758062889567,0.34494545017317096,-0.0021880509400267647,-0.0018474672020777564,-0.2118540759431613,0.19718264443145017,-4067.731627139108,0.5,-0.0004288664442569731,-0.00319333488990717,9,62103.61768646717
composite,10000.0,10642.059901411658,17,0.9411764705882353,7.189821910401364,0.010552523874488441,0.03943261692431622,0.00935371467461612,0.09933419213188976,0.004273046569566493,60844.202680639035,0.625,0.0002870326739931246,0.0017391113010483208,1,56117.64705882353
