trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
25,EURUSD,buy,2007-02-24T12:00:00+00:00,2007-02-26T04:00:00+00:00,1.31666,1.31805,1.31850,1.32154,8962.7936,12.45455,0.7572,,144000.00,-478.82323,9521.17677,0.058423,0.600000,0.588460,-1.837611
26,EURUSD,buy,2007-02-28T08:00:00+00:00,2007-02-28T16:00:00+00:00,1.32018,1.32281,1.31714,1.32506,27053.3065,71.38098,,,28800.00,-407.44226,9616.67185,0.048979,0.615385,0.649811,-1.340407
27,EURUSD,buy,2007-02-28T08:00:00+00:00,2007-02-28T17:00:00+00:00,1.32018,1.32090,1.32135,1.32506,9017.7688,6.56201,0.6198,,32400.00,-400.88024,9599.11976,0.050715,0.629630,0.655451,-1.428663
28,EURUSD,buy,2007-03-01T14:00:00+00:00,2007-03-01T15:00:00+00:00,1.32141,1.31792,1.31837,1.32629,36332.5022,-126.57584,-1.1466,,3600.00,-527.45608,9472.54392,0.063232,0.607143,0.591141,-1.909584
29,EURUSD,buy,2007-03-06T15:00:00+00:00,2007-03-07T13:00:00+00:00,1.31096,1.31358,1.30795,1.31581,27104.2674,71.01637,,,79200.00,-456.43971,9566.47992,0.053943,0.620690,0.646189,-1.405801
30,EURUSD,buy,2007-03-06T15:00:00+00:00,2007-03-07T14:00:00+00:00,1.31096,1.31261,1.31305,1.31581,9034.7558,14.84346,0.7873,,82800.00,-441.59625,9558.40375,0.054741,0.633333,0.657695,-1.438548
31,EURUSD,sell,2007-03-09T00:00:00+00:00,2007-03-09T13:00:00+00:00,1.31357,1.31094,1.31659,1.30870,27279.3799,71.71599,,,46800.00,-369.88026,9626.08162,0.048048,0.645161,0.713286,-1.077425
32,EURUSD,sell,2007-03-09T00:00:00+00:00,2007-03-09T13:00:00+00:00,1.31357,1.31401,1.31357,1.30870,9093.1266,-4.03812,,,46800.00,-373.91838,9626.08162,0.048048,0.625000,0.711060,-1.077425
33,EURUSD,buy,2007-03-10T04:00:00+00:00,2007-03-12T09:00:00+00:00,1.31165,1.31427,1.30864,1.31651,27529.0988,72.16746,,,190800.00,-301.75092,9852.20935,0.025686,0.636364,0.766827,-0.017277
34,EURUSD,buy,2007-03-10T04:00:00+00:00,2007-03-12T09:00:00+00:00,1.31165,1.31611,1.31165,1.31651,9176.3663,40.89641,,,190800.00,-260.85452,9852.20935,0.025686,0.647059,0.798429,-0.017277
35,EURUSD,buy,2007-03-11T13:00:00+00:00,2007-03-12T09:00:00+00:00,1.31165,1.31427,1.30864,1.31651,27529.0988,72.16746,,,72000.00,-188.68706,9852.20935,0.025686,0.657143,0.854195,-0.017277
36,EURUSD,buy,2007-03-11T13:00:00+00:00,2007-03-12T09:00:00+00:00,1.31165,1.31611,1.31165,1.31651,9176.3663,40.89641,,,72000.00,-147.79065,9852.20935,0.025686,0.666667,0.885797,-0.017277
37,EURUSD,sell,2007-03-21T01:00:00+00:00,2007-03-21T18:00:00+00:00,1.33109,1.33460,1.33415,1.32616,36996.9333,-129.95868,-1.1470,,61200.00,-277.74933,9722.25067,0.038538,0.648649,0.804960,-0.413597
38,EURUSD,buy,2007-03-22T16:00:00+00:00,2007-03-23T09:00:00+00:00,1.33324,1.32973,1.33017,1.33817,36471.9346,-128.18314,-1.1465,,61200.00,-405.93247,9594.06753,0.051214,0.631579,0.738487,-0.742454
39,EURUSD,buy,2007-03-24T11:00:00+00:00,2007-03-26T07:00:00+00:00,1.32852,1.32502,1.32546,1.33343,36118.9784,-126.49950,-1.1465,,158400.00,-532.43198,9467.56802,0.063724,0.615385,0.682840,-1.081420
40,EURUSD,sell,2007-04-07T06:00:00+00:00,2007-04-09T16:00:00+00:00,1.33795,1.33527,1.34103,1.33300,26527.7245,71.03445,,,208800.00,-461.39752,9569.98031,0.053596,0.625000,0.725154,-0.778797
41,EURUSD,sell,2007-04-07T06:00:00+00:00,2007-04-09T17:00:00+00:00,1.33795,1.33585,1.33540,1.33300,8842.5748,18.55048,0.8232,,212400.00,-442.84704,9557.15296,0.054865,0.634146,0.736204,-0.815228
42,EURUSD,buy,2007-04-11T01:00:00+00:00,2007-04-12T01:00:00+00:00,1.34270,1.34539,1.33962,1.34767,26699.9356,71.65069,,,86400.00,-371.19635,9655.47965,0.045141,0.642857,0.778885,-0.522228
43,EURUSD,buy,2007-04-11T01:00:00+00:00,2007-04-12T02:00:00+00:00,1.34270,1.34455,1.34500,1.34767,8899.9785,16.41000,0.8026,,90000.00,-354.78635,9645.21365,0.046156,0.651163,0.788660,-0.550846
44,EURUSD,buy,2007-04-13T04:00:00+00:00,2007-04-13T10:00:00+00:00,1.35111,1.35381,1.34800,1.35610,26778.3751,72.31089,,,21600.00,-282.47546,9742.91750,0.036494,0.659091,0.831734,-0.284618
45,EURUSD,buy,2007-04-13T04:00:00+00:00,2007-04-13T11:00:00+00:00,1.35111,1.35309,1.35355,1.35610,8926.1250,17.75174,0.8135,,25200.00,-264.72371,9735.27629,0.037250,0.666667,0.842309,-0.305255
46,EURUSD,buy,2007-04-15T16:00:00+00:00,2007-04-15T21:00:00+00:00,1.35274,1.35544,1.34963,1.35774,26995.8413,72.98610,,,18000.00,-191.73762,9804.16076,0.030438,0.673913,0.885785,-0.124087
47,EURUSD,buy,2007-04-15T16:00:00+00:00,2007-04-15T21:00:00+00:00,1.35274,1.35228,1.35274,1.35774,8998.6138,-4.10162,,,18000.00,-195.83924,9804.16076,0.030438,0.659574,0.883626,-0.124087
