trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
33,EURUSD,buy,2007-02-06T19:00:00+00:00,2007-02-07T15:00:00+00:00,1.29820,1.30079,1.29521,1.30300,24197.4389,62.78286,,,72000.00,-1562.90297,8463.80017,0.153620,0.424242,0.279007,-5.893691
34,EURUSD,buy,2007-02-06T19:00:00+00:00,2007-02-07T16:00:00+00:00,1.29820,1.30055,1.30099,1.30300,8065.8130,18.95769,0.8422,,75600.00,-1543.94529,8456.05471,0.154395,0.441176,0.287753,-5.954411
35,EURUSD,sell,2007-02-09T19:00:00+00:00,2007-02-12T07:00:00+00:00,1.30003,1.30346,1.30302,1.29522,32512.7832,-111.58021,-1.1474,,216000.00,-1655.52549,8395.51303,0.160449,0.428571,0.273666,-5.844267
36,EURUSD,buy,2007-02-11T07:00:00+00:00,2007-02-12T09:00:00+00:00,1.30086,1.29743,1.29787,1.30567,32511.5332,-111.52843,-1.1469,,93600.00,-1767.05393,8232.94607,0.176705,0.416667,0.260900,-6.289961
37,EURUSD,sell,2007-02-12T11:00:00+00:00,2007-02-13T07:00:00+00:00,1.29509,1.29851,1.29807,1.29030,31775.6587,-108.64226,-1.1475,,72000.00,-1875.69618,8124.30382,0.187570,0.405405,0.249560,-6.599407
38,EURUSD,buy,2007-02-13T18:00:00+00:00,2007-02-14T07:00:00+00:00,1.30302,1.30563,1.30002,1.30784,23388.1757,60.90852,,,46800.00,-1814.78767,8181.77512,0.181822,0.421053,0.273928,-6.288873
39,EURUSD,buy,2007-02-13T18:00:00+00:00,2007-02-14T07:00:00+00:00,1.30302,1.30258,1.30302,1.30784,7796.0586,-3.43721,,,46800.00,-1818.22488,8181.77512,0.181822,0.410256,0.273552,-6.288873
40,EURUSD,sell,2007-02-16T14:00:00+00:00,2007-02-18T22:00:00+00:00,1.31151,1.31497,1.31452,1.30665,31182.9222,-107.94724,-1.1473,,201600.00,-1926.17212,8120.10503,0.187989,0.400000,0.262242,-6.230341
41,EURUSD,buy,2007-02-17T09:00:00+00:00,2007-02-20T02:00:00+00:00,1.31395,1.31658,1.31093,1.31881,23357.6363,61.33938,,,234000.00,-1864.83274,8164.25478,0.183575,0.414634,0.285736,-5.873744
42,EURUSD,buy,2007-02-17T09:00:00+00:00,2007-02-20T03:00:00+00:00,1.31395,1.31649,1.31694,1.31881,7785.8788,19.78287,0.8509,,237600.00,-1845.04987,8154.95013,0.184505,0.428571,0.293313,-5.925321
43,EURUSD,sell,2007-02-20T23:00:00+00:00,2007-02-21T13:00:00+00:00,1.31421,1.31158,1.31723,1.30934,23262.6373,61.18598,,,50400.00,-1783.86389,8212.69109,0.178731,0.441860,0.316748,-5.596291
44,EURUSD,sell,2007-02-20T23:00:00+00:00,2007-02-21T13:00:00+00:00,1.31421,1.31465,1.31421,1.30934,7754.2124,-3.44502,,,50400.00,-1787.30891,8212.69109,0.178731,0.431818,0.316331,-5.596291
45,EURUSD,buy,2007-02-23T12:00:00+00:00,2007-02-23T14:00:00+00:00,1.31296,1.31559,1.30994,1.31782,23463.5803,61.57116,,,7200.00,-1725.73775,8270.79063,0.172921,0.444444,0.339883,-5.212232
46,EURUSD,buy,2007-02-23T12:00:00+00:00,2007-02-23T14:00:00+00:00,1.31296,1.31252,1.31296,1.31782,7821.1934,-3.47163,,,7200.00,-1729.20937,8270.79063,0.172921,0.434783,0.339432,-5.212232
47,EURUSD,sell,2007-02-25T15:00:00+00:00,2007-02-26T00:00:00+00:00,1.31588,1.31935,1.31890,1.31100,31417.5307,-109.11644,-1.1472,,32400.00,-1838.32581,8184.73613,0.181526,0.425532,0.325850,-5.280800
48,EURUSD,buy,2007-02-25T22:00:00+00:00,2007-02-27T08:00:00+00:00,1.31792,1.32055,1.31488,1.32279,23540.7924,62.00674,,,122400.00,-1776.31907,8220.18622,0.177981,0.437500,0.348589,-4.912714
49,EURUSD,buy,2007-02-25T22:00:00+00:00,2007-02-27T08:00:00+00:00,1.31792,1.31747,1.31792,1.32279,7846.9308,-3.49471,,,122400.00,-1779.81378,8220.18622,0.177981,0.428571,0.348143,-4.912714
50,EURUSD,sell,2007-03-01T15:00:00+00:00,2007-03-01T18:00:00+00:00,1.31582,1.31929,1.31884,1.31095,31226.7276,-108.44889,-1.1472,,10800.00,-1888.26266,8111.73734,0.188826,0.420000,0.334843,-5.148774
51,EURUSD,buy,2007-03-03T08:00:00+00:00,2007-03-05T01:00:00+00:00,1.31922,1.31574,1.31618,1.32410,30753.7698,-106.96548,-1.1467,,147600.00,-1995.22814,8050.59096,0.194941,0.411765,0.322684,-5.017692
52,EURUSD,sell,2007-03-04T17:00:00+00:00,2007-03-05T01:00:00+00:00,1.31842,1.31579,1.32146,1.31354,23065.3273,60.86176,,,28800.00,-1934.36638,8050.59096,0.194941,0.423077,0.343345,-5.017692
