trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop,target,size,pnl,r_multiple,confluence,duration_seconds,cumulative_pnl,equity_at_exit,drawdown,running_win_rate,running_profit_factor,running_sharpe
11,EURUSD,buy,2007-04-18T09:00:00+00:00,2007-04-18T10:00:00+00:00,1.36126,1.35239,1.35845,1.35280,41107.5592,-364.38131,-3.1564,0.505,3600.00,-498.56710,9501.43290,0.049857,0.545455,0.388460,-1.432275
12,EURUSD,buy,2007-05-02T14:00:00+00:00,2007-05-02T15:00:00+00:00,1.35981,1.36013,1.35908,1.36454,222689.8335,71.18488,,0.505,3600.00,-427.38223,9537.29083,0.046271,0.583333,0.475775,-1.238942
13,EURUSD,buy,2007-05-02T14:00:00+00:00,2007-05-02T15:00:00+00:00,1.35981,1.35933,1.35981,1.36454,74229.9445,-35.32695,,0.505,3600.00,-462.70917,9537.29083,0.046271,0.538462,0.456015,-1.238942
14,EURUSD,sell,2007-05-10T13:00:00+00:00,2007-05-10T14:00:00+00:00,1.35027,1.35731,1.35313,1.35690,38927.7177,-273.75038,-2.4630,0.505,3600.00,-736.45955,9263.54045,0.073646,0.500000,0.344987,-1.728375
15,EURUSD,sell,2007-05-16T18:00:00+00:00,2007-05-16T19:00:00+00:00,1.35156,1.36808,1.35463,1.36767,34825.3400,-575.17155,-5.3875,0.505,3600.00,-1311.63110,8688.36890,0.131163,0.466667,0.228232,-2.165577
16,EURUSD,buy,2007-05-29T09:00:00+00:00,2007-05-29T17:00:00+00:00,1.34853,1.34432,1.34479,1.35481,26013.0805,-109.64761,-1.1257,0.52,28800.00,-1421.27872,8578.72128,0.142128,0.437500,0.214399,-2.238699
17,EURUSD,buy,2007-06-22T02:00:00+00:00,2007-06-22T06:00:00+00:00,1.33921,1.34185,1.33617,1.34360,24371.3673,64.31523,,0.8,14400.00,-1356.96348,8658.94580,0.134105,0.470588,0.249949,-1.930786
18,EURUSD,buy,2007-06-22T02:00:00+00:00,2007-06-22T07:00:00+00:00,1.33921,1.33989,1.34036,1.34360,8123.7891,5.51809,0.5915,0.8,18000.00,-1351.44539,8648.55461,0.135145,0.500000,0.252999,-1.950585
19,EURUSD,sell,2007-07-06T14:00:00+00:00,2007-07-10T12:00:00+00:00,1.36269,1.36722,1.36674,1.35258,23759.7654,-107.56781,-1.1181,0.8,338400.00,-1459.01320,8540.98680,0.145901,0.473684,0.238801,-2.007068
20,EURUSD,buy,2007-07-18T01:00:00+00:00,2007-07-18T02:00:00+00:00,1.38103,1.37611,1.37798,1.37652,32352.2227,-159.40400,-1.6132,0.505,3600.00,-1618.41720,8381.58280,0.161842,0.450000,0.220466,-2.160484
21,EURUSD,buy,2007-07-18T15:00:00+00:00,2007-07-18T18:00:00+00:00,1.38103,1.37962,1.38010,1.38166,161184.2847,-228.43042,-1.5170,0.52,10800.00,-1846.84761,8153.15239,0.184685,0.428571,0.198613,-2.272205
22,EURUSD,buy,2007-07-27T05:00:00+00:00,2007-07-27T08:00:00+00:00,1.37337,1.36740,1.36788,1.38515,16049.5126,-95.82563,-1.0872,0.8,10800.00,-1942.67324,8057.32676,0.194267,0.409091,0.190684,-2.338881
23,EURUSD,sell,2007-08-03T00:00:00+00:00,2007-08-03T13:00:00+00:00,1.36933,1.37422,1.37374,1.36175,20143.3169,-98.53610,-1.1090,0.8,46800.00,-2041.20935,7958.79065,0.204121,0.391304,0.183165,-2.409398
24,EURUSD,buy,2007-08-22T19:00:00+00:00,2007-08-22T22:00:00+00:00,1.35413,1.35533,1.35252,1.35612,49742.4416,59.66090,,0.57,10800.00,-1981.54844,8017.64527,0.198235,0.416667,0.207040,-2.222901
25,EURUSD,buy,2007-08-22T19:00:00+00:00,2007-08-22T22:00:00+00:00,1.35413,1.35365,1.35413,1.35612,16580.8139,-7.85804,,0.57,10800.00,-1989.40649,8017.64527,0.198235,0.400000,0.206391,-2.222901
26,EURUSD,buy,2007-08-22T20:00:00+00:00,2007-08-23T09:00:00+00:00,1.35444,1.35595,1.35252,1.35705,39530.4172,59.66339,,0.57,46800.00,-1929.74310,8064.01067,0.193599,0.423077,0.230192,-2.196348
27,EURUSD,buy,2007-08-22T20:00:00+00:00,2007-08-23T09:00:00+00:00,1.35444,1.35396,1.35444,1.35705,13176.8057,-6.24623,,0.57,46800.00,-1935.98933,8064.01067,0.193599,0.407407,0.229619,-2.196348
28,EURUSD,sell,2007-08-23T13:00:00+00:00,2007-08-23T14:00:00+00:00,1.35526,1.35649,1.35602,1.35497,230400.3048,-283.69842,-1.6272,0.6699999999999999,3600.00,-2219.68776,7780.31224,0.221969,0.392857,0.206327,-2.439009
29,EURUSD,sell,2007-08-23T15:00:00+00:00,2007-08-23T16:00:00+00:00,1.35544,1.35653,1.35606,1.35543,370491.0592,-404.35259,-1.7696,0.6699999999999999,3600.00,-2624.04034,7375.95966,0.262404,0.379310,0.180264,-2.380701
30,EURUSD,sell,2007-08-23T18:00:00+00:00,2007-08-23T19:00:00+00:00,1.35507,1.35649,1.35602,1.35440,136591.8455,-194.13408,-1.5014,0.6699999999999999,3600.00,-2818.17442,7181.82558,0.281817,0.366667,0.169957,-2.283377
31,EURUSD,sell,2007-08-31T04:00:00+00:00,2007-08-31T11:00:00+00:00,1.36506,1.37000,1.36952,1.35570,17732.9027,-87.58269,-1.1075,0.8,25200.00,-2905.75711,7094.24289,0.290576,0.354839,0.165683,-2.323370
32,EURUSD,buy,2007-09-04T15:00:00+00:00,2007-09-04T16:00:00+00:00,1.36086,1.35949,1.35997,1.36141,147796.7269,-201.61012,-1.5359,0.52,3600.00,-3107.36723,6892.63277,0.310737,0.343750,0.156617,-2.458605
33,EURUSD,buy,2007-09-12T06:00:00+00:00,2007-09-12T07:00:00+00:00,1.38617,1.37891,1.38282,1.37932,23524.3439,-170.77547,-2.1698,0.505,3600.00,-3278.14270,6721.85730,0.327814,0.333333,0.149679,-2.553110
34,EURUSD,buy,2007-09-25T19:00:00+00:00,2007-09-25T20:00:00+00:00,1.41477,1.41292,1.41341,1.41623,71509.1202,-132.93383,-1.3626,0.57,3600.00,-3411.07653,6588.92347,0.341108,0.323529,0.144690,-2.596970
35,EURUSD,sell,2007-09-28T00:00:00+00:00,2007-09-28T12:00:00+00:00,1.41558,1.42042,1.41992,1.40567,16808.4782,-81.38318,-1.1144,0.8,43200.00,-3492.45971,6507.54029,0.349246,0.314286,0.141796,-2.648356
36,EURUSD,sell,2007-09-28T13:00:00+00:00,2007-09-28T14:00:00+00:00,1.41937,1.42145,1.42095,1.41750,56587.3069,-117.32211,-1.3156,0.6499999999999999,3600.00,-3609.78182,6390.21818,0.360978,0.305556,0.137823,-2.722509
37,EURUSD,sell,2007-10-11T13:00:00+00:00,2007-10-11T14:00:00+00:00,1.41688,1.42209,1.42159,1.40875,14930.4163,-77.67953,-1.1058,0.57,3600.00,-3687.46136,6312.53864,0.368746,0.297297,0.135313,-2.725438
38,EURUSD,buy,2007-10-18T08:00:00+00:00,2007-10-18T09:00:00+00:00,1.42571,1.41399,1.42284,1.41441,25871.0600,-303.25816,-4.0877,0.505,3600.00,-3990.71951,6009.28049,0.399072,0.289474,0.126329,-2.854784
39,EURUSD,sell,2007-10-25T15:00:00+00:00,2007-10-25T17:00:00+00:00,1.42923,1.43177,1.43127,1.42644,37324.7235,-94.79972,-1.2457,0.6,7200.00,-4085.51924,5914.48076,0.408552,0.282051,0.123760,-2.898766
40,EURUSD,sell,2007-10-25T19:00:00+00:00,2007-10-25T20:00:00+00:00,1.43068,1.43288,1.43238,1.42857,46570.7147,-102.48759,-1.2950,0.6,3600.00,-4188.00682,5811.99318,0.418801,0.275000,0.121099,-2.952571
41,EURUSD,buy,2007-10-31T08:00:00+00:00,2007-10-31T09:00:00+00:00,1.44488,1.44257,1.44308,1.44089,42423.3079,-97.92960,-1.2801,0.505,3600.00,-4285.93642,5714.06358,0.428594,0.268293,0.118660,-3.002927
42,EURUSD,sell,2007-11-09T11:00:00+00:00,2007-11-12T09:00:00+00:00,1.46767,1.45959,1.47619,1.44406,5303.8956,42.86974,,0.8,252000.00,-4243.06669,5771.28843,0.422871,0.285714,0.127475,-2.895536
43,EURUSD,sell,2007-11-09T11:00:00+00:00,2007-11-12T10:00:00+00:00,1.46767,1.46060,1.46009,1.44406,1767.9652,12.49689,0.9326,0.8,255600.00,-4230.56980,5769.43020,0.423057,0.302326,0.130045,-2.897523
44,EURUSD,buy,2007-11-14T02:00:00+00:00,2007-11-14T03:00:00+00:00,1.46629,1.45644,1.46242,1.45688,16820.4962,-165.62838,-2.5446,0.505,3600.00,-4396.19818,5603.80182,0.439620,0.295455,0.125762,-3.002843
45,EURUSD,sell,2008-01-04T03:00:00+00:00,2008-01-04T13:00:00+00:00,1.47330,1.47959,1.47907,1.45651,10513.6995,-66.12926,-1.0897,0.8,36000.00,-4462.32745,5537.67255,0.446233,0.288889,0.124130,-2.833491
46,EURUSD,buy,2008-01-09T15:00:00+00:00,2008-01-09T16:00:00+00:00,1.46724,1.46762,1.46642,1.47666,109296.1688,41.49123,,0.505,3600.00,-4420.83622,5560.45548,0.443954,0.304348,0.132274,-2.792444
47,EURUSD,buy,2008-01-09T15:00:00+00:00,2008-01-09T16:00:00+00:00,1.46724,1.46673,1.46724,1.47666,36432.0563,-18.70830,,0.505,3600.00,-4439.54452,5560.45548,0.443954,0.297872,0.131790,-2.792444
48,EURUSD,sell,2008-01-25T16:00:00+00:00,2008-01-28T14:00:00+00:00,1.46674,1.47931,1.47879,1.43621,4789.3673,-60.19158,-1.0430,0.8,252000.00,-4499.73610,5500.26390,0.449974,0.291667,0.130256,-2.778184
49,EURUSD,buy,2008-03-05T08:00:00+00:00,2008-03-05T09:00:00+00:00,1.51774,1.51651,1.51704,1.52655,229177.6625,-281.00052,-1.7637,0.505,3600.00,-4780.73662,5219.26338,0.478074,0.285714,0.123546,-2.766985
50,EURUSD,buy,2008-03-05T20:00:00+00:00,2008-03-06T00:00:00+00:00,1.52671,1.52797,1.52499,1.52877,31067.0439,39.12420,,0.57,14400.00,-4741.61242,5274.15022,0.472585,0.300000,0.130719,-2.762616
51,EURUSD,buy,2008-03-05T20:00:00+00:00,2008-03-06T01:00:00+00:00,1.52671,1.52681,1.52734,1.52877,10355.6813,1.01050,0.1544,0.57,18000.00,-4740.60192,5259.39808,0.474060,0.313725,0.130904,-2.774846
52,EURUSD,buy,2008-03-12T21:00:00+00:00,2008-03-12T22:00:00+00:00,1.55690,1.55295,1.55349,1.51019,17889.1091,-70.67320,-1.1596,0.505,3600.00,-4811.27513,5188.72487,0.481128,0.307692,0.129230,-2.806959
53,EURUSD,buy,2008-03-19T17:00:00+00:00,2008-03-19T18:00:00+00:00,1.56703,1.56053,1.56108,1.55186,9468.4760,-61.51027,-1.0918,0.505,3600.00,-4872.78540,5127.21460,0.487279,0.301887,0.127807,-2.830071
54,EURUSD,sell,2008-03-28T16:00:00+00:00,2008-03-31T14:00:00+00:00,1.57487,1.58738,1.58682,1.53381,4466.2148,-55.86347,-1.0465,0.8,252000.00,-4928.64887,5071.35113,0.492865,0.296296,0.126541,-2.834880
55,EURUSD,sell,2008-04-11T08:00:00+00:00,2008-04-13T21:00:00+00:00,1.58287,1.57379,1.59243,1.56247,4188.8914,38.04774,,0.8,219600.00,-4890.60113,5127.05504,0.487294,0.309091,0.133284,-2.754368
56,EURUSD,sell,2008-04-11T08:00:00+00:00,2008-04-13T22:00:00+00:00,1.58287,1.57264,1.57209,1.56247,1396.2971,14.29074,0.9490,0.8,223200.00,-4876.31040,5123.68960,0.487631,0.321429,0.135817,-2.757564
57,EURUSD,buy,2008-06-13T19:00:00+00:00,2008-06-13T20:00:00+00:00,1.53643,1.53832,1.53408,1.53975,20332.1016,38.41052,,0.6,3600.00,-4837.89987,5151.88214,0.484812,0.333333,0.142624,-2.566244
58,EURUSD,buy,2008-06-13T19:00:00+00:00,2008-06-13T20:00:00+00:00,1.53643,1.53589,1.53643,1.53975,6777.3672,-3.64438,,0.6,3600.00,-4841.54425,5151.88214,0.484812,0.327586,0.142532,-2.566244
59,EURUSD,buy,2008-06-13T20:00:00+00:00,2008-06-16T08:00:00+00:00,1.53816,1.54178,1.53408,1.54494,10687.4083,38.67385,,0.6,216000.00,-4802.87040,5195.21180,0.480479,0.338983,0.149381,-2.531142
60,EURUSD,buy,2008-06-13T20:00:00+00:00,2008-06-16T08:00:00+00:00,1.53816,1.53762,1.53816,1.54494,3562.4694,-1.91780,,0.6,216000.00,-4804.78820,5195.21180,0.480479,0.333333,0.149331,-2.531142
61,EURUSD,buy,2008-07-02T14:00:00+00:00,2008-07-02T15:00:00+00:00,1.58692,1.56833,1.58374,1.56880,19241.5252,-357.63399,-5.8523,0.505,3600.00,-5162.42219,4837.57781,0.516242,0.327869,0.140438,-2.575231
62,EURUSD,sell,2008-08-06T20:00:00+00:00,2008-08-06T21:00:00+00:00,1.54010,1.55391,1.54349,1.55344,16510.5045,-227.98035,-4.0706,0.505,3600.00,-5390.40254,4609.59746,0.539040,0.322581,0.135302,-2.583752
63,EURUSD,buy,2008-09-03T13:00:00+00:00,2008-09-03T14:00:00+00:00,1.44755,1.44624,1.44675,1.44786,124583.7152,-163.26407,-1.6297,0.52,3600.00,-5553.66660,4446.33340,0.555367,0.317460,0.131849,-2.599472
64,EURUSD,buy,2008-09-11T14:00:00+00:00,2008-09-11T16:00:00+00:00,1.39258,1.39558,1.38916,1.39816,11115.8335,33.33471,,0.62,7200.00,-5520.33189,4477.86222,0.552214,0.328125,0.137060,-2.557155
65,EURUSD,buy,2008-09-11T14:00:00+00:00,2008-09-11T16:00:00+00:00,1.39258,1.39209,1.39258,1.39816,3705.2778,-1.80588,,0.62,7200.00,-5522.13778,4477.86222,0.552214,0.323077,0.137021,-2.557155
66,EURUSD,sell,2008-10-02T01:00:00+00:00,2008-10-02T02:00:00+00:00,1.39678,1.40472,1.40260,1.40430,8292.3374,-65.84489,-1.3645,0.505,3600.00,-5587.98267,4412.01733,0.558798,0.318182,0.135626,-2.554504
