symbol,entry_time,exit_time,entry_price,exit_price,size,pnl,confluence
EURUSD,2003-05-05T15:00:00+00:00,2003-05-06T11:00:00+00:00,1.12764,1.13514,9897.7767,74.23333,
EURUSD,2003-05-05T15:00:00+00:00,2003-05-06T12:00:00+00:00,1.12764,1.13295,3299.2589,17.51906,
EURUSD,2003-05-05T23:00:00+00:00,2003-05-06T12:00:00+00:00,1.12924,1.13642,10338.9032,74.23333,
EURUSD,2003-05-05T23:00:00+00:00,2003-05-06T13:00:00+00:00,1.12924,1.13295,3446.3011,12.78578,
EURUSD,2003-05-06T13:00:00+00:00,2003-05-06T18:00:00+00:00,1.13262,1.13646,26509.9614,-101.79825,
EURUSD,2003-05-06T17:00:00+00:00,2003-05-06T18:00:00+00:00,1.13373,1.13636,38706.5596,-101.79825,
EURUSD,2003-05-06T08:00:00+00:00,2003-05-06T19:00:00+00:00,1.13361,1.13999,11722.5096,74.78961,
EURUSD,2003-05-06T10:00:00+00:00,2003-05-06T19:00:00+00:00,1.13336,1.13949,12236.1994,75.00790,
EURUSD,2003-05-06T12:00:00+00:00,2003-05-06T19:00:00+00:00,1.13436,1.14149,10694.6417,76.25280,
EURUSD,2003-05-06T18:00:00+00:00,2003-05-06T19:00:00+00:00,1.13545,1.13736,39173.6727,74.82171,
EURUSD,2003-05-06T18:00:00+00:00,2003-05-06T19:00:00+00:00,1.13545,1.13927,13057.8909,49.88114,
EURUSD,2003-05-06T08:00:00+00:00,2003-05-06T20:00:00+00:00,1.13361,1.14073,3907.5032,27.82142,
EURUSD,2003-05-06T10:00:00+00:00,2003-05-06T20:00:00+00:00,1.13336,1.14073,4078.7331,30.06026,
EURUSD,2003-05-06T12:00:00+00:00,2003-05-06T20:00:00+00:00,1.13436,1.14073,3564.8806,22.70829,
EURUSD,2003-05-06T22:00:00+00:00,2003-05-07T00:00:00+00:00,1.14386,1.14192,53647.2773,-104.07572,
EURUSD,2003-05-06T23:00:00+00:00,2003-05-07T02:00:00+00:00,1.14234,1.14030,38263.1316,78.05679,
EURUSD,2003-05-06T23:00:00+00:00,2003-05-07T03:00:00+00:00,1.14234,1.14157,12754.3772,9.82087,
EURUSD,2003-05-07T04:00:00+00:00,2003-05-07T06:00:00+00:00,1.14187,1.14050,75849.4434,-103.91374,
