time_utc,open,high,low,close
2003-05-04T20:00:00Z,1.12284,1.12338,1.12160,1.12169
2003-05-05T00:00:00Z,1.12161,1.12314,1.12049,1.12162
2003-05-05T04:00:00Z,1.12098,1.12241,1.12014,1.12143
2003-05-05T08:00:00Z,1.12129,1.12321,1.12042,1.12241
2003-05-05T12:00:00Z,1.12248,1.12828,1.12117,1.12764
2003-05-05T16:00:00Z,1.12732,1.13009,1.12631,1.12764
2003-05-05T20:00:00Z,1.12783,1.12983,1.12728,1.12924
2003-05-06T00:00:00Z,1.12921,1.12994,1.12734,1.12790
2003-05-06T04:00:00Z,1.12792,1.12981,1.12723,1.12930
2003-05-06T08:00:00Z,1.12956,1.13572,1.12933,1.13361
2003-05-06T12:00:00Z,1.13316,1.13646,1.13103,1.13380
2003-05-06T16:00:00Z,1.13409,1.14308,1.13304,1.14142
2003-05-06T20:00:00Z,1.14174,1.14506,1.14073,1.14234
2003-05-07T00:00:00Z,1.14218,1.14289,1.13991,1.14075
2003-05-07T04:00:00Z,1.14081,1.14323,1.13892,1.14068
2003-05-07T08:00:00Z,1.14061,1.14198,1.13762,1.13971
2003-05-07T12:00:00Z,1.13990,1.14302,1.13466,1.13508
2003-05-07T16:00:00Z,1.13495,1.13762,1.13265,1.13680
2003-05-07T20:00:00Z,1.13675,1.13740,1.13401,1.13494
2003-05-08T00:00:00Z,1.13507,1.13654,1.13266,1.13384
2003-05-08T04:00:00Z,1.13372,1.13399,1.13006,1.13306
2003-05-08T08:00:00Z,1.13260,1.13694,1.13075,1.13583
2003-05-08T12:00:00Z,1.13565,1.14845,1.13534,1.14485
2003-05-08T16:00:00Z,1.14489,1.15030,1.14475,1.14966
2003-05-08T20:00:00Z,1.14965,1.15077,1.14719,1.14820
2003-05-09T00:00:00Z,1.14831,1.15366,1.14810,1.15145
2003-05-09T04:00:00Z,1.15137,1.15259,1.14751,1.14978
2003-05-09T08:00:00Z,1.15009,1.15319,1.14794,1.14866
2003-05-09T12:00:00Z,1.14872,1.15091,1.14346,1.14869
2003-05-09T16:00:00Z,1.14844,1.14997,1.14769,1.14875
2003-05-09T20:00:00Z,1.14893,1.14921,1.14826,1.14877
2003-05-10T00:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-10T04:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-10T08:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-10T12:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-10T16:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-10T20:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-11T00:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-11T04:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-11T08:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-11T12:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-11T16:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-11T20:00:00Z,1.14867,1.15645,1.14867,1.15605
2003-05-12T00:00:00Z,1.15632,1.15747,1.15480,1.15708
2003-05-12T04:00:00Z,1.15712,1.15838,1.15529,1.15637
2003-05-12T08:00:00Z,1.15677,1.16229,1.15619,1.15806
2003-05-12T12:00:00Z,1.15789,1.16056,1.15346,1.15417
2003-05-12T16:00:00Z,1.15418,1.15720,1.15400,1.15572
2003-05-12T20:00:00Z,1.15543,1.15739,1.15225,1.15559
2003-05-13T00:00:00Z,1.15544,1.15591,1.14620,1.15034
2003-05-13T04:00:00Z,1.15043,1.15543,1.14720,1.14848
2003-05-13T08:00:00Z,1.14852,1.15193,1.14799,1.15092
2003-05-13T12:00:00Z,1.15130,1.15532,1.14866,1.15141
2003-05-13T16:00:00Z,1.15133,1.15379,1.14891,1.15148
2003-05-13T20:00:00Z,1.15123,1.15370,1.15054,1.15277
2003-05-14T00:00:00Z,1.15265,1.15352,1.14860,1.14951
2003-05-14T04:00:00Z,1.14960,1.15166,1.14704,1.14769
2003-05-14T08:00:00Z,1.14720,1.15326,1.14667,1.14838
2003-05-14T12:00:00Z,1.14825,1.15171,1.14710,1.14916
2003-05-14T16:00:00Z,1.14925,1.15261,1.14879,1.15018
2003-05-14T20:00:00Z,1.14984,1.15052,1.14661,1.14770
2003-05-15T00:00:00Z,1.14767,1.14870,1.14194,1.14420
2003-05-15T04:00:00Z,1.14418,1.14570,1.14249,1.14443
2003-05-15T08:00:00Z,1.14476,1.14835,1.14412,1.14692
2003-05-15T12:00:00Z,1.14713,1.14840,1.14354,1.14583
2003-05-15T16:00:00Z,1.14582,1.14702,1.13744,1.13928
2003-05-15T20:00:00Z,1.13948,1.13958,1.13702,1.13838
2003-05-16T00:00:00Z,1.13825,1.14135,1.13675,1.14011
2003-05-16T04:00:00Z,1.14039,1.14125,1.13820,1.14014
2003-05-16T08:00:00Z,1.14029,1.14401,1.13926,1.14331
2003-05-16T12:00:00Z,1.14374,1.15557,1.14286,1.15339
2003-05-16T16:00:00Z,1.15369,1.15766,1.15263,1.15746
2003-05-16T20:00:00Z,1.15743,1.15766,1.15613,1.15705
2003-05-17T00:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-17T04:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-17T08:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-17T12:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-17T16:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-17T20:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-18T00:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-18T04:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-18T08:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-18T12:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-18T16:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-18T20:00:00Z,1.15936,1.16841,1.15936,1.16576
2003-05-19T00:00:00Z,1.16546,1.17078,1.16406,1.16983
2003-05-19T04:00:00Z,1.17009,1.17124,1.16648,1.16859
2003-05-19T08:00:00Z,1.16867,1.17353,1.16805,1.16935
2003-05-19T12:00:00Z,1.16863,1.17032,1.16274,1.16826
2003-05-19T16:00:00Z,1.16826,1.16948,1.16205,1.16451
2003-05-19T20:00:00Z,1.16475,1.16617,1.16319,1.16410
2003-05-20T00:00:00Z,1.16404,1.16642,1.16233,1.16537
2003-05-20T04:00:00Z,1.16538,1.16812,1.16351,1.16433
2003-05-20T08:00:00Z,1.16389,1.16586,1.15998,1.16543
2003-05-20T12:00:00Z,1.16567,1.16746,1.16294,1.16466
2003-05-20T16:00:00Z,1.16516,1.17146,1.16457,1.17067
2003-05-20T20:00:00Z,1.17093,1.17364,1.16956,1.17321
2003-05-21T00:00:00Z,1.17312,1.17437,1.17088,1.17170
2003-05-21T04:00:00Z,1.17166,1.17285,1.16973,1.17114
2003-05-21T08:00:00Z,1.17092,1.17229,1.16971,1.17065
2003-05-21T12:00:00Z,1.17056,1.17395,1.16610,1.16957
2003-05-21T16:00:00Z,1.16940,1.17174,1.16651,1.16696
2003-05-21T20:00:00Z,1.16700,1.16824,1.16226,1.16404
2003-05-22T00:00:00Z,1.16424,1.16575,1.16226,1.16328
2003-05-22T04:00:00Z,1.16326,1.16529,1.16181,1.16325
2003-05-22T08:00:00Z,1.16343,1.17128,1.16308,1.16933
2003-05-22T12:00:00Z,1.16944,1.17266,1.16705,1.16799
2003-05-22T16:00:00Z,1.16757,1.17223,1.16738,1.16962
2003-05-22T20:00:00Z,1.16931,1.17038,1.16789,1.16908
2003-05-23T00:00:00Z,1.16892,1.16979,1.16638,1.16804
2003-05-23T04:00:00Z,1.16803,1.16902,1.16635,1.16850
2003-05-23T08:00:00Z,1.16826,1.18079,1.16810,1.17878
2003-05-23T12:00:00Z,1.17895,1.18056,1.17682,1.17818
2003-05-23T16:00:00Z,1.17802,1.18363,1.17675,1.18304
2003-05-23T20:00:00Z,1.18306,1.18347,1.18209,1.18236
2003-05-24T00:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-24T04:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-24T08:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-24T12:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-24T16:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-24T20:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-25T00:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-25T04:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-25T08:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-25T12:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-25T16:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-25T20:00:00Z,1.18378,1.18378,1.18144,1.18177
2003-05-26T00:00:00Z,1.18158,1.18211,1.18035,1.18118
2003-05-26T04:00:00Z,1.18130,1.18272,1.18054,1.18085
2003-05-26T08:00:00Z,1.18069,1.18223,1.17955,1.18099
2003-05-26T12:00:00Z,1.18090,1.18656,1.18043,1.18617
2003-05-26T16:00:00Z,1.18625,1.18722,1.18478,1.18711
