time_utc,open,high,low,close
2003-05-04T00:00:00Z,1.12284,1.12338,1.12160,1.12169
2003-05-05T00:00:00Z,1.12161,1.13009,1.12014,1.12924
2003-05-06T00:00:00Z,1.12921,1.14506,1.12723,1.14234
2003-05-07T00:00:00Z,1.14218,1.14323,1.13265,1.13494
2003-05-08T00:00:00Z,1.13507,1.15077,1.13006,1.14820
2003-05-09T00:00:00Z,1.14831,1.15366,1.14346,1.14877
2003-05-10T00:00:00Z,1.14867,1.14867,1.14867,1.14867
2003-05-11T00:00:00Z,1.14867,1.15645,1.14867,1.15605
2003-05-12T00:00:00Z,1.15632,1.16229,1.15225,1.15559
2003-05-13T00:00:00Z,1.15544,1.15591,1.14620,1.15277
2003-05-14T00:00:00Z,1.15265,1.15352,1.14661,1.14770
2003-05-15T00:00:00Z,1.14767,1.14870,1.13702,1.13838
2003-05-16T00:00:00Z,1.13825,1.15766,1.13675,1.15705
2003-05-17T00:00:00Z,1.15936,1.15936,1.15936,1.15936
2003-05-18T00:00:00Z,1.15936,1.16841,1.15936,1.16576
2003-05-19T00:00:00Z,1.16546,1.17353,1.16205,1.16410
2003-05-20T00:00:00Z,1.16404,1.17364,1.15998,1.17321
2003-05-21T00:00:00Z,1.17312,1.17437,1.16226,1.16404
2003-05-22T00:00:00Z,1.16424,1.17266,1.16181,1.16908
2003-05-23T00:00:00Z,1.16892,1.18363,1.16635,1.18236
2003-05-24T00:00:00Z,1.18378,1.18378,1.18378,1.18378
2003-05-25T00:00:00Z,1.18378,1.18378,1.18144,1.18177
2003-05-26T00:00:00Z,1.18158,1.18744,1.17955,1.18567
2003-05-27T00:00:00Z,1.18548,1.19286,1.18070,1.18102
2003-05-28T00:00:00Z,1.18107,1.18439,1.17037,1.17516
2003-05-29T00:00:00Z,1.17522,1.19144,1.16909,1.18922
2003-05-30T00:00:00Z,1.18908,1.18963,1.17419,1.17661
2003-05-31T00:00:00Z,1.17815,1.17815,1.17815,1.17815
2003-06-01T00:00:00Z,1.17815,1.17815,1.17058,1.17203
2003-06-02T00:00:00Z,1.17200,1.17671,1.16504,1.17441
2003-06-03T00:00:00Z,1.17411,1.17773,1.16858,1.17337
2003-06-04T00:00:00Z,1.17324,1.17463,1.16321,1.16444
2003-06-05T00:00:00Z,1.16448,1.18850,1.16273,1.18397
2003-06-07T00:00:00Z,1.16973,1.16973,1.16973,1.16973
2003-06-08T00:00:00Z,1.16973,1.17102,1.16839,1.16989
2003-06-13T00:00:00Z,1.17674,1.18758,1.17338,1.18600
2003-06-14T00:00:00Z,1.18651,1.18651,1.18651,1.18651
2003-06-15T00:00:00Z,1.18651,1.18759,1.18606,1.18759
2003-06-16T00:00:00Z,1.18763,1.19263,1.18125,1.18178
2003-06-18T00:00:00Z,1.17810,1.18016,1.16604,1.16817
2003-06-23T00:00:00Z,1.15839,1.16028,1.15069,1.15490
2003-06-24T00:00:00Z,1.15488,1.15801,1.14750,1.14959
2003-06-25T00:00:00Z,1.14968,1.16205,1.14937,1.15365
2003-06-26T00:00:00Z,1.15352,1.15425,1.14105,1.14230
2003-06-28T00:00:00Z,1.14291,1.14291,1.14291,1.14291
2003-07-03T00:00:00Z,1.15282,1.15387,1.14316,1.14915
2003-07-04T00:00:00Z,1.14888,1.14933,1.14462,1.14862
2003-07-05T00:00:00Z,1.14912,1.14912,1.14912,1.14912
2003-07-06T00:00:00Z,1.14912,1.14912,1.14653,1.14663
2003-07-07T00:00:00Z,1.14641,1.14693,1.13080,1.13213
2003-07-13T00:00:00Z,1.12773,1.12970,1.12747,1.12788
2003-07-14T00:00:00Z,1.12776,1.13070,1.12410,1.12702
2003-07-15T00:00:00Z,1.12701,1.13358,1.11550,1.11762
2003-07-16T00:00:00Z,1.11763,1.12305,1.11113,1.12269
2003-07-17T00:00:00Z,1.12243,1.12477,1.11556,1.12323
2003-07-23T00:00:00Z,1.13224,1.14910,1.13119,1.14830
2003-07-24T00:00:00Z,1.14842,1.15091,1.14220,1.14695
2003-07-25T00:00:00Z,1.14668,1.15477,1.14425,1.15049
2003-07-26T00:00:00Z,1.15094,1.15094,1.15094,1.15094
2003-07-27T00:00:00Z,1.15094,1.15124,1.14716,1.14959
2003-07-28T00:00:00Z,1.14939,1.15172,1.14511,1.14842
2003-07-29T00:00:00Z,1.14852,1.15365,1.14268,1.14413
2003-07-30T00:00:00Z,1.14410,1.14509,1.13338,1.13476
2003-08-01T00:00:00Z,1.12350,1.12706,1.11338,1.12531
2003-08-02T00:00:00Z,1.12709,1.12709,1.12709,1.12709
2003-08-03T00:00:00Z,1.12709,1.12851,1.12630,1.12678
2003-08-04T00:00:00Z,1.12672,1.13734,1.12564,1.13523
2003-08-05T00:00:00Z,1.13518,1.13969,1.13054,1.13908
2003-08-06T00:00:00Z,1.13868,1.14250,1.13238,1.13364
2003-08-07T00:00:00Z,1.13375,1.14138,1.13173,1.13640
2003-08-08T00:00:00Z,1.13632,1.13774,1.12861,1.13053
2003-08-09T00:00:00Z,1.13053,1.13053,1.13053,1.13053
2003-08-10T00:00:00Z,1.13053,1.13053,1.13053,1.13053
2003-08-11T00:00:00Z,1.13053,1.13788,1.12615,1.13544
2003-08-12T00:00:00Z,1.13535,1.13709,1.12659,1.12727
2003-08-13T00:00:00Z,1.12724,1.13302,1.12169,1.13093
2003-08-14T00:00:00Z,1.13097,1.13365,1.12234,1.12650
2003-08-15T00:00:00Z,1.12629,1.12868,1.12396,1.12633
2003-08-16T00:00:00Z,1.12597,1.12597,1.12597,1.12597
2003-08-17T00:00:00Z,1.12597,1.12675,1.12337,1.12614
2003-08-18T00:00:00Z,1.12601,1.12672,1.11221,1.11382
2003-08-19T00:00:00Z,1.11377,1.11470,1.10534,1.11293
2003-08-20T00:00:00Z,1.11277,1.11397,1.10783,1.11084
2003-08-21T00:00:00Z,1.11067,1.11088,1.08826,1.09295
2003-08-22T00:00:00Z,1.09287,1.09445,1.08350,1.08731
2003-08-23T00:00:00Z,1.08845,1.08845,1.08845,1.08845
2003-08-24T00:00:00Z,1.08845,1.08845,1.08469,1.08551
2003-08-25T00:00:00Z,1.08533,1.09169,1.07973,1.08265
2003-08-26T00:00:00Z,1.08269,1.09080,1.07911,1.08739
2003-08-27T00:00:00Z,1.08714,1.09288,1.08303,1.08512
2003-08-28T00:00:00Z,1.08491,1.09114,1.08082,1.08791
2003-08-29T00:00:00Z,1.08784,1.09964,1.08678,1.09817
2003-08-30T00:00:00Z,1.09792,1.09792,1.09792,1.09792
2003-08-31T00:00:00Z,1.09792,1.09938,1.09792,1.09887
2003-09-01T00:00:00Z,1.09882,1.10125,1.09487,1.09576
2003-09-02T00:00:00Z,1.09581,1.09610,1.07975,1.08022
2003-09-03T00:00:00Z,1.08036,1.08715,1.07606,1.08167
2003-09-04T00:00:00Z,1.08164,1.09485,1.08075,1.09305
2003-09-05T00:00:00Z,1.09326,1.11116,1.09150,1.11019
2003-09-06T00:00:00Z,1.11077,1.11077,1.11077,1.11077
2003-09-07T00:00:00Z,1.11077,1.11077,1.10762,1.10892
2003-09-08T00:00:00Z,1.10899,1.11282,1.10448,1.10653
2003-09-09T00:00:00Z,1.10657,1.12390,1.10514,1.12168
2003-09-10T00:00:00Z,1.12169,1.12347,1.11608,1.11811
2003-09-11T00:00:00Z,1.11792,1.12695,1.11537,1.11831
2003-09-12T00:00:00Z,1.11816,1.13208,1.11329,1.12883
2003-09-13T00:00:00Z,1.12877,1.12877,1.12877,1.12877
2003-09-14T00:00:00Z,1.12877,1.12877,1.12502,1.12748
2003-09-15T00:00:00Z,1.12744,1.13082,1.12401,1.12766
2003-09-16T00:00:00Z,1.12765,1.13165,1.11523,1.11632
2003-09-17T00:00:00Z,1.11625,1.12989,1.11366,1.12750
2003-09-18T00:00:00Z,1.12750,1.13414,1.12246,1.12482
2003-09-19T00:00:00Z,1.12476,1.13823,1.12374,1.13762
2003-09-20T00:00:00Z,1.13793,1.13793,1.13793,1.13793
2003-09-21T00:00:00Z,1.13793,1.14954,1.13793,1.14568
2003-09-22T00:00:00Z,1.14542,1.15031,1.14124,1.14694
2003-09-23T00:00:00Z,1.14690,1.15233,1.14260,1.14380
2003-09-24T00:00:00Z,1.14377,1.15034,1.14262,1.14814
2003-09-25T00:00:00Z,1.14819,1.15321,1.14568,1.14667
2003-09-26T00:00:00Z,1.14673,1.14965,1.14385,1.14577
2003-09-27T00:00:00Z,1.14744,1.14744,1.14744,1.14744
2003-09-28T00:00:00Z,1.14744,1.14744,1.14488,1.14593
2003-09-29T00:00:00Z,1.14592,1.16366,1.13927,1.15753
2003-09-30T00:00:00Z,1.15756,1.17323,1.15717,1.16738
2003-10-01T00:00:00Z,1.16710,1.17327,1.16523,1.17151
2003-10-02T00:00:00Z,1.17147,1.17668,1.16596,1.16760
2003-10-03T00:00:00Z,1.16764,1.17193,1.15487,1.15780
2003-10-04T00:00:00Z,1.15734,1.15734,1.15734,1.15734
2003-10-05T00:00:00Z,1.15734,1.15943,1.15557,1.15893
2003-10-06T00:00:00Z,1.15889,1.17212,1.15309,1.17121
2003-10-07T00:00:00Z,1.17128,1.18098,1.16960,1.17741
2003-10-08T00:00:00Z,1.17761,1.18399,1.17675,1.18210
2003-10-09T00:00:00Z,1.18217,1.18588,1.16830,1.17344
2003-10-10T00:00:00Z,1.17325,1.18461,1.17012,1.17928
