params,final_equity,trades,win_rate,profit_factor,max_drawdown,sharpe,sortino,cagr,ulcer_index
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",31.65930354252171,2581,0.37969779155366135,0.44300183267478754,0.9969158231958641,-3.3381000302901067,-1.6895523736173923,-0.2702944119040426,0.8387746239845154
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",417.5011812168947,1508,0.3839522546419098,0.44015831153320617,0.9592871671408456,-2.466641039135516,-1.003871734318055,-0.1596148429366523,0.7117054236572445
"{'risk_per_trade': 0.005, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",1025.3809032267486,876,0.3744292237442922,0.34311883865954973,0.8989008417362844,-2.0675839796481035,-0.616916817829485,-0.11723709412783911,0.631466684675624
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",0.4485474468317163,1833,0.15930169121658483,0.5635667639230356,0.9999589562567839,-2.2447603610889915,-1.9874243384956007,-0.4219995203968072,0.8840394832638858
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",55.12980703983693,1075,0.16744186046511628,0.6133096896745663,0.9954961121012281,-1.450802975415705,-1.0644677281866854,-0.24779434760742702,0.7935103620558196
"{'risk_per_trade': 0.005, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",190.31989175670515,626,0.1389776357827476,0.27056601843086125,0.9824558703005932,-1.5114355207848529,-0.7396892498716926,-0.19499519874929616,0.7890632530377788
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",0.08745915839207516,2581,0.37969779155366135,0.48949798886314383,0.99999169825929,-3.3374725548302955,-1.689383694865504,-0.4714888277604843,0.9106407058062381
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",16.196454581796296,1508,0.3839522546419098,0.46967309389732115,0.9984597940946411,-2.466396061581239,-1.0038151503178558,-0.2965869696057898,0.8476611273601361
"{'risk_per_trade': 0.01, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",99.6716753313729,876,0.3744292237442922,0.3606099728574166,0.9903107045181228,-2.067323539108258,-0.616873414988148,-0.2230054393840828,0.7950175414516576
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",1.0577958142614447e-05,1833,0.15930169121658483,0.6135084316403411,0.9999999991081915,-2.2673270560680634,-2.0157946597178404,-0.6774709433843906,0.9353896801490353
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",0.20023593934252742,1075,0.16744186046511628,0.6846892501961203,0.9999852443070754,-1.4703797456490513,-1.0862058771503855,-0.44696776492005275,0.8848178012228972
"{'risk_per_trade': 0.01, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",3.024825135187282,626,0.1389776357827476,0.31664531693210596,0.9997413824761092,-1.5292974112581068,-0.7562415696257367,-0.3583301795536008,0.890018134637516
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 48}",4.320961630369831e-07,2581,0.37969779155366135,0.5417572630356373,0.9999999999610363,-3.336187821266807,-1.6890375968984201,-0.7292750897793709,0.9466816289776171
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 96}",0.019419375381772113,1508,0.3839522546419098,0.5092124358160901,0.9999982437022812,-2.465893775619885,-1.0036977758476324,-0.5132903426418747,0.9168622817353015
"{'risk_per_trade': 0.02, 'partial_exit_enabled': True, 'daily_swing_cooldown_bars': 192}",0.7925032626168869,876,0.3744292237442922,0.3921043496211639,0.9999251098969403,-2.0667949492070012,-0.6167852077350626,-0.403703212117722,0.8874905184092793
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 48}",1.072686482423723e-15,1833,0.15930169121658483,0.6351162317444621,1.0,-2.296501950270152,-2.0559966533317793,-0.9085082087147953,0.9676298186728912
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 96}",9.188745237421957e-07,1075,0.16744186046511628,0.737019723311863,0.999999999932884,-1.4964969857027417,-1.1176381847673889,-0.7178571202608934,0.9314276862208718
"{'risk_per_trade': 0.02, 'partial_exit_enabled': False, 'daily_swing_cooldown_bars': 192}",0.0004661940650113821,626,0.1389776357827476,0.3972499042564847,0.9999999651893102,-1.5563411619032086,-0.7802955710849587,-0.6031832308700812,0.942104320502737
